Country,Continent,Population per sqr km,Agglomerates (%),Age 0-14 (%),Age 15-64 (%),Age 65- (%),GDP per capita ($),HAQ Index,Confirmed,Deaths,Case fatality,Deaths per 100K
Afghanistan,Asia,56.94,10.81,42,55,3,502.11,26,35727,1190,0.033,3.2
Albania,Europe,104.61,0,17,68,14,5352.85,75,4358,120,0.028,4.19
Algeria,Africa,17.73,6.33,31,63,7,3948.3,63,24872,1111,0.045,2.63
Andorra,Europe,163.84,0,14,70,16,40886.4,95,889,52,0.058,67.53
Angola,Africa,24.71,25.27,47,51,2,2973.59,33,812,33,0.041,0.11
Antigua and Barbuda,N. America,218.83,0,22,69,9,17790.3,70,76,3,0.039,3.12
Argentina,S. America,16.26,42.9,25,64,11,10006.14,68,141900,2588,0.018,5.82
Armenia,Asia,103.68,36.62,21,68,11,4622.73,71,35693,678,0.019,22.97
Australia,Australia,3.25,60.89,19,65,16,54907.1,96,13302,133,0.01,0.53
Austria,Europe,107.13,21.57,14,67,19,50277.27,94,19929,711,0.036,8.04
Azerbaijan,Asia,120.23,23.07,23,70,6,4793.58,66,28633,385,0.013,3.87
Bahrain,Asia,2017.27,0,19,79,3,23503.97,72,37637,130,0.003,8.28
Bangladesh,Asia,1239.58,15.45,27,68,5,1855.73,48,213254,2751,0.013,1.7
Barbados,N. America,666.61,0,17,67,16,18148.24,71,106,7,0.066,2.44
Belarus,Europe,46.72,21.3,17,68,15,6663.29,79,66521,513,0.008,5.41
Belgium,Europe,377.38,27.01,17,64,19,46116.69,93,64627,9808,0.152,85.87
Benin,Africa,101.85,0,42,55,3,1219.43,31,1690,34,0.02,0.3
Bolivia,S. America,10.48,41.54,31,62,7,3552.06,49,64135,2328,0.036,20.51
Bosnia and Herzegovina,Europe,64.92,0,15,68,17,6073.26,72,9115,268,0.029,8.06
Brazil,S. America,25.06,42.1,21,70,9,8717.18,64,2227514,82771,0.037,39.51
Brunei,Asia,81.39,0,23,72,5,31086.75,76,141,3,0.021,0.7
Bulgaria,Europe,64.71,18.3,15,64,21,9737.6,77,9584,321,0.033,4.57
Burkina Faso,Africa,72.19,13.05,45,53,2,774.83,30,1066,53,0.05,0.27
Cabo Verde,Africa,134.92,0,28,67,5,3603.78,55,2154,21,0.01,3.86
Cameroon,Africa,53.34,28.43,42,55,3,1497.9,32,16522,382,0.023,1.51
Canada,N. America,4.07,45.78,16,67,18,46194.72,94,113790,8913,0.078,24.05
Central African Republic,Africa,7.49,0,44,53,3,467.9,19,4574,57,0.012,1.22
Chad,Africa,13,8.6,47,51,2,709.54,25,889,75,0.084,0.48
Chile,S. America,25.18,35.47,19,69,12,14896.45,78,334683,8677,0.026,46.33
China,Asia,148.34,28.54,18,71,11,10261.67,78,85906,4648,0.054,0.33
Colombia,S. America,44.74,43.93,23,69,9,6432.38,68,218428,7373,0.034,14.85
Comoros,Africa,447.24,0,39,58,3,1393.52,33,337,7,0.021,0.84
Congo (Brazzaville),Africa,15.35,24.35,46,51,3,545.21,34,2851,50,0.018,0.95
Congo (Kinshasa),Africa,37.08,64.74,42,56,2,2011.07,30,8626,197,0.023,0.23
Costa Rica,N. America,97.91,27.31,21,69,10,12238.37,74,12361,71,0.006,1.42
Cote d'Ivoire,Africa,78.83,19.67,42,55,3,2286.16,27,14733,93,0.006,0.37
Croatia,Europe,73.04,0,15,65,21,14853.23,87,4530,125,0.028,3.06
Cuba,N. America,108.99,18.86,16,68,16,8821.8,76,2462,87,0.035,0.77
Cyprus,Europe,128.7,0,17,69,14,27858.37,90,1040,19,0.018,1.6
Czechia,Europe,137.65,12.17,16,64,20,23101.77,89,14570,364,0.025,3.43
Denmark,Europe,137.97,22.92,16,64,20,59822.09,92,13554,611,0.045,10.54
Djibouti,Africa,43,0,29,66,5,3408.84,35,5030,58,0.012,6.05
Dominican Republic,N. America,219.97,30.21,28,65,7,8282.11,61,56043,1005,0.018,9.46
Ecuador,S. America,68.78,27.59,28,65,7,6183.82,62,77257,5418,0.07,31.71
Egypt,Africa,98.87,25.56,34,61,5,3020.03,58,89745,4440,0.049,4.51
El Salvador,N. America,309.88,17.13,27,65,8,4187.25,63,12975,363,0.028,5.65
Equatorial Guinea,Africa,46.66,0,37,61,2,8131.92,49,3071,51,0.017,3.9
Estonia,Europe,30.41,0,16,64,20,23659.87,86,2025,69,0.034,5.22
Eswatini,Africa,67,0,38,58,4,3837,40,1938,25,0.013,2.2
Ethiopia,Africa,109.22,4.09,40,56,4,857.5,28,11524,188,0.016,0.17
Finland,Europe,18.14,23.4,16,62,22,48685.85,96,7362,328,0.045,5.94
France,Europe,122.29,22.85,18,62,20,40493.92,92,215605,30175,0.14,45.05
Gabon,Africa,8.22,0,37,59,4,7667.36,40,6588,47,0.007,2.22
Georgia,Asia,65.19,28.95,20,65,15,4769.18,67,1073,16,0.015,0.43
Germany,Europe,237.01,9.59,14,65,22,46258.87,92,204276,9102,0.045,10.98
