User_ID,Time_of_Session,Purchase,Revenue
7480,2020-04-04 08:15:49,Points,760
7480,2020-04-04 08:24:15,Upgrade,760
7480,2020-04-04 22:49:08,Points,410
2466,2020-04-06 00:16:48,Points,760
22001,2020-04-06 09:13:45,Points,760
19008,2020-04-06 09:44:30,Points,760
22001,2020-04-07 09:36:37,Points,760
9487,2020-04-07 15:57:34,Points,760
9487,2020-04-07 15:57:34,Points,760
11963,2020-04-07 20:51:03,Upgrade,760
11963,2020-04-07 21:00:47,Points,760
11963,2020-04-07 21:42:39,Points,760
11963,2020-04-07 22:37:00,Points,760
11963,2020-04-07 23:24:14,Points,760
11963,2020-04-07 23:41:57,Upgrade,760
11963,2020-04-08 00:20:24,Points,760
11963,2020-04-08 00:48:24,Points,760
11963,2020-04-08 01:58:23,Upgrade,760
7180,2020-04-08 10:56:14,Upgrade,410
7180,2020-04-08 11:17:47,Upgrade,410
11963,2020-04-08 13:54:14,Upgrade,760
11963,2020-04-08 14:20:29,Points,760
9487,2020-04-08 15:34:46,Points,760
9487,2020-04-08 15:43:20,Points,760
9487,2020-04-08 15:45:51,Points,760
11963,2020-04-08 16:08:31,Points,760
11963,2020-04-08 16:58:13,Points,760
9487,2020-04-08 20:13:18,Points,760
11963,2020-04-08 21:06:56,Points,760
11963,2020-04-08 23:36:22,Points,1810
11963,2020-04-09 00:41:53,Upgrade,1810
11963,2020-04-09 00:57:26,Points,760
9487,2020-04-09 04:32:44,Points,760
21,2020-04-09 10:18:32,Upgrade,760
21,2020-04-09 10:53:07,Points,760
9487,2020-04-09 13:14:32,Points,760
9487,2020-04-09 13:50:46,Points,1810
9487,2020-04-09 14:02:14,Points,760
9487,2020-04-09 14:16:29,Points,760
14383,2020-04-09 18:38:01,Upgrade,760
14383,2020-04-09 18:38:44,Points,1810
14383,2020-04-09 20:10:57,Points,760
9487,2020-04-09 20:11:13,Points,760
9487,2020-04-10 04:19:12,Points,760
21,2020-04-10 13:04:04,Upgrade,760
9487,2020-04-10 16:13:39,Points,760
9487,2020-04-10 16:32:49,Points,760
14383,2020-04-10 16:40:06,Upgrade,760
14383,2020-04-10 16:43:42,Points,1810
11963,2020-04-10 22:29:15,Upgrade,760
9487,2020-04-11 04:28:01,Points,1810
16375,2020-04-11 04:44:33,Points,760
9487,2020-04-12 11:47:30,Points,410
9487,2020-04-13 07:13:07,Points,760
9487,2020-04-13 19:04:28,Points,760
9487,2020-04-13 19:22:20,Points,760
9487,2020-04-14 06:27:42,Points,410
9487,2020-04-14 06:48:19,Points,410
9487,2020-04-14 18:27:51,Points,1810
9487,2020-04-14 18:31:35,Points,410
9487,2020-04-15 07:11:38,Points,760
9487,2020-04-15 07:45:03,Points,410
9487,2020-04-15 11:44:33,Points,760
9487,2020-04-15 11:53:06,Points,760
9487,2020-04-15 20:47:53,Points,760
11963,2020-04-16 00:28:51,Upgrade,410
14383,2020-04-16 07:39:19,Points,3560
14383,2020-04-16 08:13:44,Upgrade,760
14383,2020-04-16 16:35:48,Points,1810
14383,2020-04-16 16:43:03,Upgrade,760
9487,2020-04-16 17:35:03,Points,410
14383,2020-04-16 20:29:01,Points,3560
14383,2020-04-17 14:43:47,Upgrade,760
9487,2020-04-19 09:34:28,Points,760
9487,2020-04-19 09:45:19,Points,410
9487,2020-04-19 10:03:51,Points,760
9487,2020-04-19 10:39:39,Points,760
9487,2020-04-19 11:02:43,Points,760
9487,2020-04-19 11:08:38,Points,1810
9487,2020-04-19 11:40:46,Points,410
9487,2020-04-19 11:48:26,Points,410
9487,2020-04-19 12:03:10,Points,410
14383,2020-04-19 13:04:34,Upgrade,760
9487,2020-04-19 19:42:47,Points,1810
9487,2020-04-19 20:49:26,Upgrade,760
9487,2020-04-19 21:42:26,Points,410
16090,2020-04-01 03:36:14,Points,760
16090,2020-04-01 03:41:39,Points,1810
16090,2020-04-01 04:10:19,Upgrade,1810
16090,2020-04-01 04:24:19,Points,760
16090,2020-04-01 05:01:32,Points,410
16090,2020-04-01 13:11:55,Points,1810
10426,2020-04-01 13:40:23,Points,410
16090,2020-04-02 03:32:55,Points,760
16090,2020-04-02 03:33:59,Points,760
16090,2020-04-02 10:03:17,Upgrade,410
16090,2020-04-02 10:13:11,Upgrade,760
16090,2020-04-02 10:45:18,Points,760
16090,2020-04-02 10:51:33,Upgrade,410
20315,2020-04-02 11:17:00,Upgrade,410
16090,2020-04-02 13:59:33,Points,760
16090,2020-04-02 14:08:08,Points,760
16090,2020-04-02 14:57:25,Points,760
20315,2020-04-02 15:06:21,Upgrade,410
20315,2020-04-02 16:09:17,Upgrade,410
16090,2020-04-03 04:34:51,Points,410
16090,2020-04-03 04:37:53,Upgrade,410
16090,2020-04-03 08:34:24,Points,410
16090,2020-04-03 08:51:46,Points,760
2885,2020-04-04 03:04:27,Points,1810
16090,2020-04-04 04:25:59,Points,410
16090,2020-04-04 04:52:18,Points,760
16090,2020-04-04 04:55:23,Upgrade,410
16090,2020-04-04 05:30:03,Points,760
5644,2020-04-04 05:37:33,Upgrade,410
5644,2020-04-04 06:12:09,Upgrade,760
5644,2020-04-04 10:26:33,Upgrade,760
2885,2020-04-04 18:04:05,Points,1810
17784,2020-04-04 18:54:38,Upgrade,760
17784,2020-04-04 18:55:30,Points,760
19216,2020-04-05 09:37:19,Points,760
19216,2020-04-05 10:01:43,Upgrade,3555
19216,2020-04-05 10:10:59,Points,3560
9857,2020-04-05 14:11:14,Points,760
2885,2020-04-05 17:24:44,Points,3560
9857,2020-04-05 20:39:02,Points,760
5644,2020-04-06 06:25:26,Points,410
9857,2020-04-06 10:47:06,Points,1810
9857,2020-04-06 11:06:43,Points,760
2885,2020-04-06 12:29:45,Upgrade,3555
21283,2020-04-06 12:57:45,Points,760
21283,2020-04-06 13:05:03,Upgrade,760
21283,2020-04-06 14:08:16,Upgrade,760
11953,2020-04-06 16:43:10,Points,760
11953,2020-04-06 16:43:44,Upgrade,760
11953,2020-04-06 17:00:35,Upgrade,410
14684,2020-04-06 17:06:09,Points,760
5858,2020-04-06 19:52:41,Points,760
20618,2020-04-06 20:42:13,Points,760
20618,2020-04-06 20:51:07,Points,760
20618,2020-04-06 20:52:14,Points,760
2885,2020-04-07 00:00:01,Points,7060
20618,2020-04-07 05:31:33,Points,410
20618,2020-04-07 05:41:10,Points,760
20618,2020-04-07 08:17:27,Upgrade,410
16646,2020-04-07 11:13:08,Upgrade,760
20618,2020-04-07 11:17:29,Points,760
15278,2020-04-07 13:35:57,Points,760
19869,2020-04-07 14:09:14,Points,1810
19869,2020-04-07 14:32:52,Upgrade,410
19869,2020-04-07 14:39:05,Points,760
19869,2020-04-07 14:43:26,Points,1810
14684,2020-04-07 15:45:40,Points,760
14684,2020-04-07 15:45:40,Points,760
14684,2020-04-07 15:53:07,Points,760
14684,2020-04-07 15:53:07,Points,760
18970,2020-04-07 16:13:23,Points,760
18970,2020-04-07 16:13:23,Points,760
2885,2020-04-07 16:51:27,Points,3560
5858,2020-04-07 22:35:48,Points,760
18013,2020-04-08 13:16:46,Points,760
18013,2020-04-08 13:41:20,Upgrade,760
18013,2020-04-08 13:46:37,Points,760
18013,2020-04-08 14:03:03,Points,1810
5858,2020-04-08 17:03:57,Points,760
19869,2020-04-08 17:07:28,Upgrade,760
5858,2020-04-08 17:16:24,Points,760
18013,2020-04-08 21:40:32,Points,1810
18013,2020-04-08 22:57:25,Points,1810
18013,2020-04-09 00:10:10,Upgrade,760
18013,2020-04-09 00:17:52,Points,1810
18013,2020-04-09 00:35:57,Points,1810
15477,2020-04-01 14:05:44,Points,760
15477,2020-04-01 14:57:03,Upgrade,760
15477,2020-04-01 15:47:56,Upgrade,760
8146,2020-04-01 18:10:06,Points,760
8146,2020-04-01 18:15:35,Points,1810
13444,2020-04-01 20:50:00,Points,760
13444,2020-04-01 21:01:17,Points,760
15477,2020-04-02 04:54:54,Points,410
15477,2020-04-02 12:31:05,Points,1810
15477,2020-04-02 14:21:03,Points,760
15477,2020-04-02 14:41:32,Points,760
8146,2020-04-02 17:49:18,Points,1810
15477,2020-04-02 17:57:51,Points,1810
15477,2020-04-03 04:48:37,Points,410
15477,2020-04-03 12:20:08,Points,1810
15477,2020-04-03 12:52:52,Points,760
15477,2020-04-03 13:24:43,Upgrade,760
13026,2020-04-03 18:47:33,Upgrade,760
13026,2020-04-03 18:57:49,Points,1810
8146,2020-04-04 05:03:26,Points,760
8146,2020-04-04 05:18:52,Upgrade,410
13444,2020-04-04 20:26:24,Points,760
13444,2020-04-04 20:30:02,Points,760
13026,2020-04-05 00:28:08,Points,760
8727,2020-04-05 16:05:33,Points,760
15477,2020-04-05 19:08:15,Upgrade,760
1766,2020-04-05 21:38:08,Points,760
20401,2020-04-06 10:27:36,Points,760
20401,2020-04-06 10:27:48,Points,760
20401,2020-04-06 10:37:39,Upgrade,760
20401,2020-04-06 11:33:03,Points,410
20401,2020-04-06 12:09:26,Points,410
7645,2020-04-06 14:09:32,Points,1810
7645,2020-04-06 14:18:08,Upgrade,1810
7645,2020-04-06 14:32:58,Points,1810
2431,2020-04-06 14:48:57,Points,760
20401,2020-04-06 15:34:27,Points,760
7645,2020-04-06 15:42:32,Points,1810
7645,2020-04-06 16:40:44,Points,1810
7645,2020-04-06 17:11:54,Points,760
7645,2020-04-06 17:56:15,Points,1810
7645,2020-04-06 18:43:35,Points,760
7645,2020-04-06 19:11:14,Upgrade,760
7645,2020-04-06 20:42:27,Upgrade,760
7645,2020-04-06 21:22:04,Points,760
7645,2020-04-06 21:53:29,Points,760
7645,2020-04-06 22:52:02,Points,760
7645,2020-04-06 22:59:23,Upgrade,760
7645,2020-04-06 23:39:41,Points,1810
7645,2020-04-07 00:40:43,Upgrade,760
7645,2020-04-07 02:03:21,Points,760
7645,2020-04-07 02:59:48,Points,760
7645,2020-04-07 17:07:49,Upgrade,760
7645,2020-04-07 17:46:13,Points,410
7645,2020-04-07 17:56:02,Points,410
7645,2020-04-07 20:19:05,Points,760
1998,2020-04-07 20:23:45,Upgrade,1810
7645,2020-04-07 20:36:17,Upgrade,760
7645,2020-04-07 20:52:28,Points,1810
20830,2020-04-07 21:37:31,Upgrade,1810
20401,2020-04-08 13:25:05,Points,410
19260,2020-04-10 16:42:35,Points,760
19260,2020-04-10 17:04:10,Points,760
19260,2020-04-11 04:45:21,Upgrade,410
19260,2020-04-11 04:54:26,Points,760
19260,2020-04-11 05:03:58,Points,760
19260,2020-04-11 05:16:07,Points,760
19260,2020-04-11 05:23:28,Upgrade,410
19260,2020-04-11 05:35:32,Points,760
19260,2020-04-11 05:43:22,Points,760
19260,2020-04-11 05:47:41,Upgrade,410
19260,2020-04-11 06:00:36,Points,760
19260,2020-04-11 06:00:56,Points,760
19260,2020-04-11 06:12:49,Points,410
19260,2020-04-11 06:16:19,Points,760
19260,2020-04-11 06:16:32,Points,760
19260,2020-04-11 06:24:42,Upgrade,410
19260,2020-04-11 06:31:44,Points,760
19260,2020-04-11 06:31:58,Points,760
1766,2020-04-11 16:54:59,Points,760
20401,2020-04-11 18:52:09,Upgrade,760
20401,2020-04-11 18:56:58,Points,410
20401,2020-04-12 07:59:10,Points,760
20401,2020-04-12 07:59:25,Points,410
20401,2020-04-12 08:58:04,Points,1810
15477,2020-04-12 17:33:20,Points,410
8727,2020-04-13 12:57:46,Upgrade,760
7645,2020-04-16 08:16:25,Upgrade,760
7645,2020-04-16 20:41:05,Upgrade,760
7645,2020-04-16 22:25:07,Upgrade,760
7645,2020-04-16 23:38:39,Upgrade,760
7645,2020-04-17 01:40:42,Upgrade,760
20401,2020-04-17 13:43:37,Points,760
20401,2020-04-17 14:08:51,Points,410
20401,2020-04-17 14:21:41,Upgrade,760
20401,2020-04-17 14:23:01,Upgrade,760
20401,2020-04-17 16:12:27,Points,410
20401,2020-04-17 17:03:04,Points,410
7645,2020-04-17 19:31:30,Points,3560
20401,2020-04-18 11:53:58,Points,760
7645,2020-04-18 12:36:05,Upgrade,410
7645,2020-04-18 21:55:55,Upgrade,760
7645,2020-04-18 23:58:25,Upgrade,760
20401,2020-04-19 06:41:41,Points,410
20401,2020-04-19 06:42:00,Points,410
20401,2020-04-19 08:19:55,Upgrade,760
20401,2020-04-19 08:38:32,Points,760
7645,2020-04-19 09:20:09,Upgrade,410
20401,2020-04-19 09:42:46,Points,410
20401,2020-04-19 10:02:34,Upgrade,760
20401,2020-04-19 10:03:02,Points,760
20401,2020-04-19 10:52:37,Points,410
20401,2020-04-19 10:52:57,Points,410
20401,2020-04-19 11:26:12,Points,760
7645,2020-04-20 10:27:01,Upgrade,760
7645,2020-04-20 11:27:41,Upgrade,760
7645,2020-04-20 12:23:25,Upgrade,410
7645,2020-04-20 12:51:34,Upgrade,760
7645,2020-04-20 14:44:46,Upgrade,760
7645,2020-04-20 16:31:34,Upgrade,760
22544,2020-04-20 17:28:09,Points,760
7645,2020-04-20 17:48:21,Upgrade,760
22544,2020-04-20 17:59:09,Points,410
7645,2020-04-21 20:24:54,Upgrade,760
7645,2020-04-22 20:08:23,Upgrade,410
7645,2020-04-23 20:07:33,Upgrade,410
7645,2020-04-23 20:23:04,Upgrade,760
7645,2020-04-23 21:29:04,Upgrade,760
7645,2020-04-25 06:30:58,Upgrade,760
15477,2020-04-27 15:59:25,ValuePack,1460
15477,2020-04-27 15:59:43,Points,760
7645,2020-04-28 20:47:08,Upgrade,760
7645,2020-04-28 21:26:47,Upgrade,760
7645,2020-04-28 21:59:48,Upgrade,760
7645,2020-04-29 09:50:30,Upgrade,760
7645,2020-04-29 10:31:06,Upgrade,760
15477,2020-04-30 15:04:17,Points,760
15477,2020-04-30 15:29:53,Points,760
15477,2020-04-30 15:50:45,Points,760
20401,2020-05-03 11:39:42,Points,760
20401,2020-05-03 11:55:18,Points,760
20401,2020-05-03 12:15:03,Points,760
20401,2020-05-03 12:33:40,Points,760
20401,2020-05-04 06:09:07,Points,410
20401,2020-05-08 15:23:41,Upgrade,3555
20401,2020-05-08 15:23:58,Points,760
20401,2020-05-08 18:14:18,Upgrade,1810
20401,2020-05-10 09:42:46,Upgrade,760
20401,2020-05-11 13:36:51,Upgrade,760
20401,2020-05-11 16:59:11,Upgrade,760
20401,2020-05-14 14:53:38,Upgrade,760
20401,2020-05-17 08:04:40,Upgrade,760
20401,2020-05-20 01:10:56,Upgrade,760
20401,2020-05-20 09:41:54,Upgrade,760
20401,2020-05-20 14:39:38,Upgrade,760
20401,2020-05-20 15:37:04,Upgrade,760
20401,2020-05-21 14:11:10,Points,760
20401,2020-05-21 14:11:46,Upgrade,760
20401,2020-05-22 18:02:56,Upgrade,760
20401,2020-05-22 19:15:40,Upgrade,760
20401,2020-05-23 07:21:54,Upgrade,760
15477,2020-05-25 11:04:35,ValuePack,1460
16407,2020-05-28 17:02:25,Upgrade,760
16407,2020-05-28 18:09:17,Upgrade,760
22544,2020-05-29 12:46:08,Points,410
22544,2020-05-29 12:46:28,Points,410
20401,2020-05-30 12:41:59,Upgrade,760
20401,2020-05-30 18:06:11,Upgrade,760
1548,2020-04-02 09:10:11,Upgrade,760
5238,2020-04-02 09:41:56,Points,760
1548,2020-04-02 12:11:14,Upgrade,1810
21240,2020-04-02 13:13:09,Points,760
21240,2020-04-02 13:23:37,Points,1810
21240,2020-04-02 13:33:28,Upgrade,760
21240,2020-04-02 13:41:27,Points,760
21240,2020-04-02 13:51:36,Points,760
21240,2020-04-02 13:54:28,Points,760
21240,2020-04-02 14:06:46,Points,760
21240,2020-04-02 14:17:47,Points,760
21240,2020-04-02 15:35:36,Points,760
21240,2020-04-02 15:59:17,Points,760
21240,2020-04-03 00:04:30,Points,760
21240,2020-04-03 00:06:22,Points,760
21240,2020-04-03 00:16:59,Points,760
21240,2020-04-03 00:28:11,Upgrade,760
21240,2020-04-03 00:32:58,Points,760
21240,2020-04-03 00:53:45,Points,1810
21240,2020-04-03 01:01:08,Points,760
21240,2020-04-03 01:09:41,Points,760
21240,2020-04-03 01:31:30,Points,1810
21240,2020-04-03 01:49:58,Points,1810
21240,2020-04-03 01:58:00,Upgrade,410
21240,2020-04-03 02:03:35,Points,760
18768,2020-04-03 13:15:45,Points,760
10337,2020-04-03 21:43:26,Upgrade,760
10337,2020-04-04 07:43:54,Points,760
1548,2020-04-04 09:14:21,Upgrade,760
1548,2020-04-04 10:01:30,Upgrade,760
1548,2020-04-05 12:02:03,Upgrade,1810
13466,2020-04-05 12:46:06,Upgrade,760
13466,2020-04-05 13:25:24,Points,760
13466,2020-04-05 13:52:27,Upgrade,760
13466,2020-04-05 13:55:43,Points,760
13466,2020-04-05 14:20:32,Points,760
13466,2020-04-05 14:58:31,Upgrade,1810
1548,2020-04-05 16:11:54,Points,1810
3402,2020-04-05 19:53:40,Points,760
9916,2020-04-06 08:32:15,Upgrade,1810
9916,2020-04-06 08:55:27,Points,3560
5532,2020-04-06 09:01:18,Points,1810
5532,2020-04-06 09:17:51,Upgrade,760
3402,2020-04-06 10:24:38,Points,760
9187,2020-04-06 11:13:06,Points,760
9187,2020-04-06 11:16:47,Points,760
9187,2020-04-06 15:09:38,Points,760
9187,2020-04-06 15:16:15,Points,1810
10337,2020-04-06 16:48:17,Points,410
