User_ID,Install_Date,Language,Country,Mobile_Device
0,2020-04-01,en,US,"iPhone4,1"
1,2020-04-01,en,IN,"iPod5,1"
2,2020-04-06,en,US,"iPod7,1"
3,2020-04-03,nb,NO,"iPhone8,1"
4,2020-04-03,en,GB,"iPhone5,4"
5,2020-04-07,en,US,"iPhone5,3"
6,2020-04-06,en,US,"iPhone3,1"
7,2020-04-06,en,US,"iPhone6,1"
8,2020-04-03,en,US,"iPhone4,1"
9,2020-04-04,tr,TR,"iPhone6,2"
10,2020-04-05,da,DK,"iPhone7,2"
11,2020-04-04,pt,PT,"iPad3,4"
12,2020-04-07,en,US,"iPhone7,2"
13,2020-04-05,en,US,"iPhone7,1"
14,2020-04-06,en,US,"iPad5,4"
15,2020-04-01,en,LT,"iPhone7,2"
16,2020-04-04,en,PH,"iPhone4,1"
17,2020-04-06,en,US,"iPhone6,1"
18,2020-04-02,es,MX,"iPad2,2"
19,2020-04-07,en,US,"iPhone3,1"
20,2020-04-06,en,US,"iPhone7,2"
21,2020-04-07,en,GB,"iPhone7,1"
22,2020-04-03,en,US,"iPhone5,3"
23,2020-04-01,en,US,"iPad2,5"
24,2020-04-03,vi,VN,"iPad5,1"
25,2020-04-04,en,US,"iPhone8,1"
26,2020-04-04,en,US,"iPad5,3"
27,2020-04-03,en,GB,"iPhone6,2"
28,2020-04-05,en,US,"iPhone4,1"
29,2020-04-05,tr,TR,"iPad2,5"
30,2020-04-03,en,US,"iPhone6,1"
31,2020-04-01,id,ID,"iPhone6,2"
32,2020-04-03,en,MX,"iPhone7,2"
33,2020-04-06,en,US,"iPhone7,2"
34,2020-04-03,ja,JP,"iPhone7,2"
35,2020-04-07,en,US,"iPhone6,1"
36,2020-04-02,en,US,"iPhone8,2"
37,2020-04-06,en,GB,"iPhone5,4"
38,2020-04-07,pt,BR,"iPad4,4"
39,2020-04-07,en,US,"iPhone7,2"
40,2020-04-06,en,US,"iPhone7,1"
41,2020-04-06,en,US,"iPad2,5"
42,2020-04-06,en,PH,"iPad4,4"
43,2020-04-06,da,DK,"iPhone4,1"
44,2020-04-07,en,US,"iPod5,1"
45,2020-04-07,en,GB,"iPhone5,4"
46,2020-04-01,ar,LY,"iPhone6,1"
47,2020-04-07,en,US,"iPhone7,2"
48,2020-04-03,en,US,"iPhone6,1"
49,2020-04-06,en,US,"iPhone5,1"
50,2020-04-05,es,PE,"iPhone6,1"
51,2020-04-02,en,US,"iPhone7,2"
52,2020-04-02,en,US,"iPod5,1"
53,2020-04-01,de,CH,"iPhone6,2"
54,2020-04-04,en,US,"iPad2,4"
55,2020-04-04,en,GB,"iPhone8,1"
56,2020-04-06,en,US,"iPad2,5"
57,2020-04-05,en,US,"iPod7,1"
58,2020-04-01,fr,CA,"iPhone5,3"
59,2020-04-01,en,US,"iPhone8,1"
60,2020-04-04,en,US,"iPhone5,1"
61,2020-04-01,en,US,"iPad4,4"
62,2020-04-06,en,US,"iPhone8,1"
63,2020-04-03,nl,NL,"iPhone6,2"
64,2020-04-06,fr,BE,"iPad5,3"
65,2020-04-06,th,TH,"iPad4,1"
66,2020-04-06,es,ES,"iPad3,1"
67,2020-04-03,it,IT,"iPhone6,2"
68,2020-04-01,nl,NL,"iPad2,5"
69,2020-04-04,cs,CZ,"iPad4,1"
70,2020-04-05,en,IN,"iPhone6,1"
71,2020-04-03,en,US,"iPad3,1"
72,2020-04-05,ru,RU,"iPhone6,2"
73,2020-04-05,en,US,"iPhone4,1"
74,2020-04-01,fa,US,"iPad4,2"
75,2020-04-01,en,US,"iPhone8,2"
76,2020-04-01,en,GB,"iPhone3,1"
77,2020-04-03,ro,RO,"iPhone6,1"
78,2020-04-01,nb,NO,"iPhone6,2"
79,2020-04-03,en,US,"iPad4,1"
80,2020-04-06,en,US,"iPhone6,1"
81,2020-04-04,en,US,"iPad2,5"
82,2020-04-06,en,US,"iPhone5,1"
83,2020-04-05,en,GB,"iPod4,1"
84,2020-04-05,en,US,"iPhone8,1"
85,2020-04-07,en,US,"iPhone6,1"
86,2020-04-07,es,MX,"iPad4,4"
87,2020-04-02,sv,SE,"iPhone7,1"
88,2020-04-07,en,US,"iPhone8,1"
89,2020-04-06,en,US,"iPhone6,1"
90,2020-04-01,en,US,"iPod7,1"
91,2020-04-05,en,US,"iPhone7,2"
92,2020-04-06,en,US,"iPhone5,2"
93,2020-04-03,en,US,"iPhone7,2"
94,2020-04-04,en,US,"iPhone5,3"
95,2020-04-07,pt,BR,"iPad4,2"
96,2020-04-07,en,ZA,"iPhone6,2"
97,2020-04-06,en,CA,"iPhone8,1"
98,2020-04-02,en,US,"iPhone8,2"
99,2020-04-05,en,CA,"iPad4,1"
100,2020-04-02,en,US,"iPhone8,1"
101,2020-04-04,en,US,"iPhone6,1"
102,2020-04-02,en,US,"iPod7,1"
103,2020-04-05,en,US,"iPad4,1"
104,2020-04-04,pt,BR,"iPhone6,2"
105,2020-04-04,en,US,"iPhone7,2"
106,2020-04-05,tr,TR,"iPhone8,1"
107,2020-04-07,en,US,"iPhone8,1"
108,2020-04-05,en,US,"iPhone3,3"
109,2020-04-04,en,AU,"iPhone6,2"
110,2020-04-03,en,US,"iPhone7,1"
111,2020-04-02,en,US,"iPhone5,1"
112,2020-04-05,en,GB,"iPhone7,1"
113,2020-04-05,en,US,"iPhone7,1"
114,2020-04-07,en,US,"iPhone3,1"
115,2020-04-06,en,GB,"iPhone8,1"
116,2020-04-02,en,GB,"iPhone6,2"
117,2020-04-02,en,ID,"iPhone5,2"
118,2020-04-06,he,IL,"iPhone6,2"
119,2020-04-01,en,US,"iPhone8,1"
120,2020-04-06,it,IT,"iPhone7,2"
121,2020-04-06,en,US,"iPhone7,1"
122,2020-04-03,hu,HU,"iPhone7,2"
123,2020-04-04,en,CA,"iPhone6,1"
124,2020-04-02,en,GB,"iPad3,1"
125,2020-04-01,en,CA,"iPhone3,1"
126,2020-04-01,en,US,"iPhone8,2"
127,2020-04-06,en,US,"iPhone4,1"
128,2020-04-06,ru,RU,"iPhone5,4"
129,2020-04-02,en,US,"iPhone5,4"
130,2020-04-01,en,US,"iPhone8,2"
131,2020-04-05,en,US,"iPhone8,1"
132,2020-04-04,en,US,"iPhone7,1"
133,2020-04-01,en,US,"iPad5,1"
134,2020-04-03,en,US,"iPad5,3"
135,2020-04-06,en,US,"iPhone6,1"
136,2020-04-02,en,US,"iPhone4,1"
137,2020-04-03,en,AU,"iPad4,1"
138,2020-04-05,en,US,"iPhone7,2"
139,2020-04-07,en,US,"iPhone6,1"
140,2020-04-05,en,US,"iPhone5,3"
141,2020-04-02,en,US,"iPhone7,2"
142,2020-04-03,ar,OM,"iPhone8,1"
143,2020-04-04,vi,VN,"iPhone4,1"
144,2020-04-02,de,AT,"iPhone7,1"
145,2020-04-04,en,AU,"iPhone5,2"
146,2020-04-06,en,EE,"iPhone5,4"
